label,correct,total,accuracy
1,18,18,1.0
2,19,19,1.0
3,18,19,0.9473684210526315
4,22,22,1.0
5,22,22,1.0
6,17,17,1.0
7,19,19,1.0
8,16,16,1.0
9,15,16,0.9375
10,18,18,1.0
11,15,15,1.0
12,18,19,0.9473684210526315
14,16,16,1.0
15,20,20,1.0
16,17,18,0.9444444444444444
17,17,17,1.0
18,23,23,1.0
19,19,19,1.0
20,18,18,1.0
21,20,20,1.0
22,18,18,1.0
23,16,16,1.0
24,16,16,1.0
25,18,19,0.9473684210526315
26,16,16,1.0
27,15,16,0.9375
28,16,16,1.0
29,16,16,1.0
30,17,17,1.0
31,19,19,1.0
32,16,16,1.0
33,17,17,1.0
