,precision,recall,f1-score,support
1,0.8235294117647058,0.7777777777777778,0.8,18.0
2,0.6153846153846154,0.8421052631578947,0.7111111111111111,19.0
3,0.5,0.5789473684210527,0.5365853658536586,19.0
4,0.6785714285714286,0.8636363636363636,0.76,22.0
5,1.0,0.8636363636363636,0.926829268292683,22.0
6,0.9411764705882353,0.9411764705882353,0.9411764705882353,17.0
7,0.6956521739130435,0.8421052631578947,0.7619047619047619,19.0
8,0.9411764705882353,1.0,0.9696969696969697,16.0
9,0.2608695652173913,0.375,0.3076923076923077,16.0
10,0.8421052631578947,0.8888888888888888,0.8648648648648649,18.0
11,0.5,0.6,0.5454545454545454,15.0
12,0.8,0.8421052631578947,0.8205128205128205,19.0
14,0.5909090909090909,0.8125,0.6842105263157895,16.0
15,0.8235294117647058,0.7,0.7567567567567568,20.0
16,0.18181818181818182,0.1111111111111111,0.13793103448275862,18.0
17,0.5,0.35294117647058826,0.41379310344827586,17.0
18,1.0,1.0,1.0,23.0
19,0.8888888888888888,0.8421052631578947,0.8648648648648649,19.0
20,0.7894736842105263,0.8333333333333334,0.8108108108108109,18.0
21,0.7222222222222222,0.65,0.6842105263157895,20.0
22,0.68,0.9444444444444444,0.7906976744186046,18.0
23,0.6428571428571429,0.5625,0.6,16.0
24,0.5714285714285714,0.5,0.5333333333333333,16.0
25,0.6666666666666666,0.631578947368421,0.6486486486486487,19.0
26,0.7142857142857143,0.3125,0.43478260869565216,16.0
27,0.6,0.1875,0.2857142857142857,16.0
28,0.9411764705882353,1.0,0.9696969696969697,16.0
29,1.0,0.875,0.9333333333333333,16.0
30,0.44,0.6470588235294118,0.5238095238095238,17.0
31,0.75,0.631578947368421,0.6857142857142857,19.0
32,1.0,0.8125,0.896551724137931,16.0
33,1.0,0.9411764705882353,0.9696969696969697,17.0
accuracy,0.7190226876090751,0.7190226876090751,0.7190226876090751,0.7190226876090751
macro avg,0.7219287951507968,0.7113502356185695,0.7053245458177044,573.0
weighted avg,0.7271322597061688,0.7190226876090751,0.7124095428757137,573.0
