filename,image_id,label,scientific_name,common_name,model,y_true,y_pred,correct,confidence
3620.jpg,3620,33,Citrus reticulata Blanco,tangerine,knn_k5,33,33,True,1.0
2151.jpg,2151,14,Chimonanthus praecox L.,wintersweet,knn_k5,14,14,True,1.0
2162.jpg,2162,14,Chimonanthus praecox L.,wintersweet,knn_k5,14,14,True,1.0
3355.jpg,3355,29,Mahonia bealei (Fortune) Carr.,Beale's barberry,knn_k5,29,29,True,1.0
2171.jpg,2171,15,Cinnamomum camphora (L.) J. Presl,camphortree,knn_k5,15,15,True,1.0
2175.jpg,2175,15,Cinnamomum camphora (L.) J. Presl,camphortree,knn_k5,15,15,True,1.0
2176.jpg,2176,15,Cinnamomum camphora (L.) J. Presl,camphortree,knn_k5,15,15,True,1.0
2177.jpg,2177,15,Cinnamomum camphora (L.) J. Presl,camphortree,knn_k5,15,15,True,1.0
2187.jpg,2187,15,Cinnamomum camphora (L.) J. Presl,camphortree,knn_k5,15,15,True,1.0
2195.jpg,2195,15,Cinnamomum camphora (L.) J. Presl,camphortree,knn_k5,15,15,True,1.0
2204.jpg,2204,15,Cinnamomum camphora (L.) J. Presl,camphortree,knn_k5,15,15,True,1.0
3353.jpg,3353,29,Mahonia bealei (Fortune) Carr.,Beale's barberry,knn_k5,29,29,True,1.0
