filename,image_id,label,scientific_name,common_name,model,y_true,y_pred,correct,confidence
1002.jpg,1002,1,Phyllostachys edulis (Carr.) Houz.,pubescent bamboo,gaussian_nb,1,22,False,1.0
1549.jpg,1549,9,Cinnamomum japonicum Sieb.,Chinese cinnamon,gaussian_nb,9,12,False,1.0
3461.jpg,3461,31,Populus ×canadensis Moench,Canadian poplar,gaussian_nb,31,32,False,1.0
2218.jpg,2218,15,Cinnamomum camphora (L.) J. Presl,camphortree,gaussian_nb,15,27,False,1.0
3393.jpg,3393,30,Magnolia grandiflora L.,southern magnolia,gaussian_nb,30,12,False,1.0
2569.jpg,2569,21,Nerium oleander L.,oleander,gaussian_nb,21,12,False,1.0
3250.jpg,3250,27,Manglietia fordiana Oliv.,Ford Woodlotus,gaussian_nb,27,3,False,0.9999999999999964
3406.jpg,3406,30,Magnolia grandiflora L.,southern magnolia,gaussian_nb,30,12,False,0.9999999999999964
2231.jpg,2231,16,Viburnum awabuki K.Koch,Japan Arrowwood,gaussian_nb,16,15,False,0.9999999999981632
3230.jpg,3230,27,Manglietia fordiana Oliv.,Ford Woodlotus,gaussian_nb,27,3,False,0.9999999999710988
2010.jpg,2010,11,Ilex macrocarpa Oliv.,Big-fruited Holly,gaussian_nb,11,20,False,0.9999999996757752
2609.jpg,2609,21,Nerium oleander L.,oleander,gaussian_nb,21,3,False,0.9999999963417974
