label,total,correct,per_class_accuracy
1,18,12,0.6666666666666666
2,19,12,0.631578947368421
3,19,15,0.7894736842105263
4,22,22,1.0
5,22,19,0.8636363636363636
6,17,17,1.0
7,19,15,0.7894736842105263
8,16,16,1.0
9,16,11,0.6875
10,18,17,0.9444444444444444
11,15,11,0.7333333333333333
12,19,15,0.7894736842105263
14,16,13,0.8125
15,20,15,0.75
16,18,0,0.0
17,17,10,0.5882352941176471
18,23,23,1.0
19,19,16,0.8421052631578947
20,18,17,0.9444444444444444
21,20,5,0.25
22,18,15,0.8333333333333334
23,16,12,0.75
24,16,15,0.9375
25,19,13,0.6842105263157895
26,16,10,0.625
27,16,4,0.25
28,16,15,0.9375
29,16,15,0.9375
30,17,2,0.11764705882352941
31,19,18,0.9473684210526315
32,16,15,0.9375
33,17,16,0.9411764705882353
