label,total,correct,per_class_accuracy
1,18,14,0.7777777777777778
2,19,16,0.8421052631578947
3,19,11,0.5789473684210527
4,22,19,0.8636363636363636
5,22,19,0.8636363636363636
6,17,16,0.9411764705882353
7,19,16,0.8421052631578947
8,16,16,1.0
9,16,6,0.375
10,18,16,0.8888888888888888
11,15,9,0.6
12,19,16,0.8421052631578947
14,16,13,0.8125
15,20,14,0.7
16,18,2,0.1111111111111111
17,17,6,0.35294117647058826
18,23,23,1.0
19,19,16,0.8421052631578947
20,18,15,0.8333333333333334
21,20,13,0.65
22,18,17,0.9444444444444444
23,16,9,0.5625
24,16,8,0.5
25,19,12,0.631578947368421
26,16,5,0.3125
27,16,3,0.1875
28,16,16,1.0
29,16,14,0.875
30,17,11,0.6470588235294118
31,19,12,0.631578947368421
32,16,13,0.8125
33,17,16,0.9411764705882353
